parent_slug,title,slug,order,is_active,Requirements,Price,Currency,Sub title
visa-thailand-visa,90 Days,thailand-90-official,NULL,Yes,"Note Verbal from the Ministry of Foreign Affairs,Department Letter (No Objection Certificate),Original Pakistani Passport ,Four Pictures,FRC Family Registration Certificate (if Applying with Family),C.N.I.C Photo Copy",11500,PKR,For Official Passport
visa-malaysia-visa,30 Days,malaysia-30-days-urgent,NULL,Yes,"Malaysian Embasssy Visa Fee ,Service Charges ,All Taxes,30 Days Duration of Stay in Malaysia ,3Month Visa Validity (Travel Time ),Processing time is 3 to 4 working days",26500,PKR,Malaysia E Visa Urgent
visa-malaysia-visa,30 Days,malaysia-30-days-sticker,NULL,Yes,"Malaysian Embasssy Visa Fee ,Service Charges ,All Taxes,30 Days Duration of Stay in Malaysia ,3Month Visa Validity (Travel Time ),Processing time is one working week",12500,PKR,Malaysia Sticker Visa
visa-malaysia-visa,30 Days,malaysia-30-days,NULL,Yes,"Immigration visa Fee ,Service Charges ,All Taxes,30 Days Duration of Stay in Malaysia ,3Month Visa Validity (Travel Time ),Processing time is 12 to 15 working days",16500,PKR,Malaysia E Visa
visa-azerbaijan-visa,30 Days,azerbaijan-30-days,NULL,Yes,"30 Days Duration of Stay in Azerbaijan,90 Days Validity ( Travel Time ),Processing time is 4 to 5 working days",11000,PKR,Business visa
visa-azerbaijan-visa,30 Days,azerbaijan-30-days,NULL,Yes,"30 Days Duration of Stay in Azerbaijan,90 Days Validity ( Travel Time ) ,Processing time is one working day.",26500,PKR,Tourist Visa URGENT
visa-azerbaijan-visa,30 Days,azerbaijan-30-days,NULL,Yes,"30 Days Duration of Stay in Azerbaijan,90 Days Validity ( Travel Time ). ,Processing time is 4 working days.",16500,PKR,Tourist Visa
visa-uzbekistan-visa,30 Days,uzbekistan-30-days,NULL,Yes,"Uzbekistan Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,60 Days Validity (Travel Time ),10 to 12 Working Days Processing Time,Total 140 USD including Telex Charge",39000,PKR,Uzbekistan Visit Visa
visa-turkey-visa,90 Days,turkey,NULL,Yes,"Turkey File Preparation Charges ,Tourist Visa.,Duration of stay in Turkey as per Hotel Booking",15000,PKR,Turkey Visit Visa
visa-cambodia-visit-visa,30 Days,cambodia,NULL,Yes,"Immigration Fees,Visa Service Charges,All Taxes,Processing time is 5 working days",18500,PKR,Cambodia E Visa
visa-vietnam-visit-visa,90 Days,vietnam,NULL,Yes,"Immigration Fees,Visa Service Charges,All Taxes",210,USD,Vietnam Tourist Visa
visa-saudi-arabia-one-year-multiple-personal-visit-visa,28 Days,umrah-visa,NULL,No,Saudi Arabia Umrah Visa Included,250,USD,Umrah Visa
visa-kazakhstan-visit-visa,60 Days,kazakhstan,NULL,Yes,"Immigration visa Fee ,Service Charges ,All Taxes,30 Days Duration of Stay,60 Days Visa Validity (Travel Time ),Processing time is 8 to 10 working days",180,USD,Kazakhstan Visit Visa
